,prompt,A,B,C,D,E,answer
165,What is Glanzmann's thrombasthenia?,"Glanzmann's thrombasthenia is a disorder that affects the clotting process, specifically due to defects in the platelets' glycoprotein IIb/IIIa receptor.","Glanzmann's thrombasthenia is a genetic disorder that affects the red blood cells, resulting in an abnormal shape and decreased oxygen-carrying capacity.",Glanzmann's thrombasthenia is a neurological condition characterized by the degeneration of motor neurons and subsequent muscle weakness and atrophy.,"Glanzmann's thrombasthenia is an autoimmune disease where the body mistakenly attacks and destroys the bone marrow, leading to a decrease in platelet production.",Glanzmann's thrombasthenia is a rare type of cancer that affects the cells in the bone marrow responsible for producing platelets.,A
166,What is a Dedekind number?,Dedekind numbers are a sequence of integers that are used in cryptography to generate encryption keys.,Dedekind numbers are a sequence of integers that were discovered by Richard Dedekind while studying the Fibonacci sequence.,Dedekind numbers are a sequence of integers that count the number of permutations of a set with n elements.,Dedekind numbers are a sequence of integers that count the number of monotone boolean functions of n variables.,Dedekind numbers are a sequence of integers that represent the dimensions of different mathematical objects known as Dedekind domains.,D
167,What is the characteristic of Dwingeloo 1 based on its size and mass?,Dwingeloo 1 is a spiral galaxy similar in size and mass to the Triangulum Galaxy.,Dwingeloo 1 is a giant elliptical galaxy with a much larger size and mass than the Triangulum Galaxy.,"Dwingeloo 1 is a irregular galaxy with a unique size and mass, totally distinct from the Triangulum Galaxy.",Dwingeloo 1 is a dwarf galaxy with significantly smaller size and mass compared to the Triangulum Galaxy.,"Dwingeloo 1 is a barred spiral galaxy with an unusual size and mass, different from the Triangulum Galaxy.",A
168,What is the solubility property of free phytosterols extracted from oils?,Free phytosterols are soluble in oil.,Free phytosterols are soluble in water.,Free phytosterols are insoluble in water.,Free phytosterols are relatively insoluble in oil.,Free phytosterols are soluble in alcohols.,D
169,What is the significance of Bernard Louis Zehrfuss?,Bernard Louis Zehrfuss was a French tennis player.,Bernard Louis Zehrfuss was a French architect.,Bernard Louis Zehrfuss was a French painter.,Bernard Louis Zehrfuss was a French philosopher.,Bernard Louis Zehrfuss was a French politician.,E
170,What is Chizu's population density?,"Chizu's estimated population density is 2,699 persons per km².",Chizu's estimated population density is 199.18 persons per km².,"Chizu's estimated population density is 6,438 persons per km².",Chizu's estimated population density is 76.90 persons per km².,Chizu's estimated population density is 29 persons per km².,E
171,What was Karl-Otto Apel's specialization and philosophical approach?,Karl-Otto Apel specialized in aesthetics and was considered an existentialist.,Karl-Otto Apel specialized in political philosophy and was considered a communication theorist.,Karl-Otto Apel specialized in moral philosophy and was considered a poststructuralist.,Karl-Otto Apel specialized in the philosophy of language and was considered a phenomenologist.,Karl-Otto Apel specialized in epistemology and was considered a critical theorist.,D
172,What was the main influence behind the creation of Synchromism?,The aim to attract a large number of artists to join and follow the principles of Synchromism.,The need to establish an art movement that would gain attention and recognition in the international art scene.,The intention to explore the representation of diverse subjects through the use of color and music analogies.,The opportunity to incorporate both abstract and representational elements in art to create a coherent style.,The desire to create abstract paintings that would challenge traditional artistic techniques and styles.,C
173,Where is the Ridge located?,The Ridge is a heritage-listed residence and former hospital in New South Wales.,"The Ridge is a heritage-listed residence and former hospital in Merewether, New South Wales.","The Ridge is a heritage-listed residence and former hospital at 21 Hillcrest Road, Merewether, New South Wales, Australia.",The Ridge is a heritage-listed residence and former hospital in Australia.,The Ridge is a heritage-listed residence and former hospital at 2 April 1999.,C
174,What is CLISP?,CLISP is an implementation of the programming language Common Lisp that was originally developed by Bruno Haible and Michael Stoll for the Microsoft Windows operating system and now also supports Unix.,CLISP is an implementation of the programming language Common Lisp that was originally developed by Bruno Haible and Michael Stoll for the Atari ST and now supports both Unix and Microsoft Windows operating systems.,CLISP is an implementation of the programming language Common Lisp that was originally developed by Bruno Haible and Michael Stoll for the Unix operating system and now also supports Microsoft Windows.,CLISP is an implementation of the programming language Common Lisp that was originally developed by Bruno Haible and Michael Stoll for the Atari ST and supports only the Unix operating system.,CLISP is an implementation of the programming language Common Lisp that was originally developed by Bruno Haible and Michael Stoll for the Atari ST and supports only the Microsoft Windows operating system.,B
175,What is The Giant?,The Giant is a 2020 French-American horror film written and directed by David Raboy and starring Odessa Young. It is Raboy's first foray into the horror genre.,The Giant is a 2020 French drama film directed by David Raboy and starring Odessa Young. It is Raboy's first film as a director.,The Giant is a 2020 French-American comedy film written and directed by David Raboy and starring Odessa Young. It is Raboy's latest comedic work.,The Giant is a 2020 American science fiction film written and directed by David Raboy and starring Odessa Young. It is Raboy's first venture into the sci-fi genre.,The Giant is a 2020 French-American mystery crime thriller film written and directed by David Raboy and starring Odessa Young. It is Raboy's feature directorial debut.,E
176,Which aspect is central to the practice of clinical psychology?,Psychological assessment,Theory,Behavioral science,Clinical formulation,Personal development,A
177,Which of the following statements accurately describes Werner Urland's contributions to chemistry?,Werner Urland's name is famous in the field of chemistry due to his contributions in the implementation of the Angular Overlap Model for the interpretation of optical and magnetic properties of coordination compounds.,Werner Urland's work in chemistry has gained popularity due to the recent interest in the Angular Overlap Model and the advancements in lanthanide-based new materials.,Werner Urland's research focuses on lanthanide-based new materials and their applications in achieving magnets at the molecular scale.,"Werner Urland is credited with the development of the Angular Overlap Model, which is widely used to interpret the optical and magnetic properties of rare-earth coordination compounds.",Werner Urland is renowned for his groundbreaking work in molecular magnetism and the design of new phosphor materials.,D
178,"What is ""The Reefs of Space""?","""The Reefs of Space"" is a non-fiction book by Frederik Pohl and Jack Williamson, published in 1964.","""The Reefs of Space"" is a fantasy novel by Frederik Pohl and Jack Williamson, published in 1964.","""The Reefs of Space"" is a crime thriller novel by Frederik Pohl and Jack Williamson, published in 1964.","""The Reefs of Space"" is a utopian science fiction novel by Frederik Pohl and Jack Williamson, published in 1964.","""The Reefs of Space"" is a dystopian science fiction novel by Frederik Pohl and Jack Williamson, published in 1964.",E
179,What types of rock or sediment are commonly used as key beds for mapping and correlating sedimentary rocks?,Sedimentary rock with distinct physical characteristics or fossil content,"Peat beds, coal beds, shell beds, marine bands, black shales in cyclothems, and oil shales",Volcanic ash beds and impact spherule beds,Fossil floral and faunal assemblages and paleomagnetism,Key beds created by instantaneous events or very short episodes of widespread deposition,B
180,What field of mathematics was Richard Steven Varga known for specializing in?,Numerical analysis,Game theory,Differential equations,Number theory,Algebraic geometry,A
181,How is the Gemini house described in terms of its design and energy source?,The Gemini house is a prototype design for a house that uses solar energy and efficient design.,The Gemini house is a historic design for a house that uses biomass energy and sustainable design.,The Gemini house is a traditional house that uses wind energy and sustainable design practices.,The Gemini house is a futuristic design for a house that uses geothermal energy and efficient design.,The Gemini house is a modular design for a house that uses hydroelectric energy and efficient design.,A
182,What is Méallet?,Méallet is a commune in the Loire-Atlantique department in western France.,Méallet is a commune in the Cantal department in south-central France.,"Méallet is a commune in the Côtes-d'Armor department in Brittany, northwestern France.",Méallet is a commune in the Charente-Maritime department in western France.,Méallet is a commune in the Yonne department in north-central France.,B
183,What is the objective of the Biological Weapons Convention (BWC)?,To promote the acquisition and stockpiling of biological weapons for self-defense.,To encourage the development and deployment of advanced biological weapons.,To regulate the development and production of biological weapons.,To facilitate the transfer of biological and toxin weapons for research purposes.,To ban the use and stockpiling of biological and toxin weapons.,E
184,What important contributions has Piotr Fronczewski made to the field of physics?,"Piotr Fronczewski has made significant advancements in nuclear physics, particularly in the study of atomic structure and radioactive decay.","Piotr Fronczewski is an acclaimed actor, cabaret and theatre singer, not a physicist.","Piotr Fronczewski has made remarkable contributions to the field of particle physics, including the development of new theories and experimental techniques.",Piotr Fronczewski is a world-renowned physicist who has made groundbreaking discoveries in quantum mechanics and string theory.,Piotr Fronczewski has revolutionized the field of astrophysics with his research on black holes and the origins of the universe.,B
185,What is the definition of extramedullary hematopoiesis?,Extramedullary hematopoiesis refers to hematopoiesis occurring within the medulla of the bone.,"Extramedullary hematopoiesis refers to hematopoiesis occurring outside of the medulla of the bone, exclusively in pathological conditions.","Extramedullary hematopoiesis refers to hematopoiesis occurring outside of the medulla of the bone, regardless of whether it is a physiological or pathological process.","Extramedullary hematopoiesis refers to hematopoiesis occurring outside of the medulla of the bone, exclusively in physiological conditions.","Extramedullary hematopoiesis refers to hematopoiesis occurring within the medulla of the bone, exclusively in pathological conditions.",C
186,What is the significance of Antarctilamna in the field of paleontology?,"Antarctilamna is an extinct genus of shark that is characterized by distinct diplodont teeth with small intermediate cusps, contributing to our understanding of dental evolution in ancient sharks.","Antarctilamna is an extinct genus of shark that is often associated with the Bunga Beds locality in Australia, where its unique spines have been found, shedding light on the paleobiology and behavior of this ancient shark species.","Antarctilamna is an extinct genus of shark that has been found in multiple locations around the world, showcasing its wide distribution and ecological importance during the Devonian period.","Antarctilamna is an extinct genus of shark that is known for having robust ctenacanth-like spines with a deep insertion area, making it a prominent example of its kind in the fossil record.","Antarctilamna is an extinct genus of shark that was first discovered in South Eastern Australia and Antarctica, providing valuable insights into the paleogeography and paleoclimate of these regions during the Devonian era.",D
187,"In the field of cosmic inflation and the metric expansion of space, what was Gerardus Wilhelmus Maria Huijsmans known for?",Inflaton,Metric,Scalar,Quanta,Conformal cyclic cosmology,B
188,What is Wilhelm Griesinger known for?,Wilhelm Griesinger was a German composer known for his symphonies and operas.,Wilhelm Griesinger was a German neurologist and psychiatrist known for his contributions to the field of neuroscience and his groundbreaking research on brain disorders.,Wilhelm Griesinger was a German painter known for his famous landscapes and still-life paintings.,Wilhelm Griesinger was a German mathematician known for his development of groundbreaking algorithms and theories in number theory.,Wilhelm Griesinger was a German politician known for his influential role in shaping healthcare policies in Germany.,B
189,What is a naive Bayes classifier?,"A type of classifier that uses Bayes' theorem without any assumptions about feature independence, resulting in highly accurate predictions.",A family of complex Bayesian network models that are known for their simplicity and high accuracy levels.,"A family of simple ""probabilistic classifiers"" based on applying Bayes' theorem with strong (naive) independence assumptions between the features.",A type of classifier that uses advanced probabilistic models to calculate the probability of a given outcome based on strong (naive) independence assumptions between the features.,A type of classifier that combines naive independence assumptions with kernel density estimation to achieve high accuracy levels.,C
190,"What is chintz, and where did it originate?",Chintz is a type of silk textile that originated in China and is printed with designs featuring animals and geometric patterns.,Chintz is a type of wool textile that originated in India and is embroidered with intricate designs featuring birds and botanical motifs.,Chintz is a type of linen textile that originated in Europe in the 18th century and is hand-painted with designs featuring landscapes and historical scenes.,Chintz is a type of cotton textile that originated in Golconda in the 16th century and is printed with designs featuring flowers and other patterns.,Chintz is a type of synthetic textile that originated in Japan and is screen printed with abstract designs in bold colors.,D
191,"In the context of direct marketing, what is telemarketing?",Telemarketing is a method of direct marketing wherein customers are approached through emails and online advertisements.,Telemarketing is a method of direct marketing where salespeople go door-to-door to solicit prospective customers.,Telemarketing is a method of direct marketing in which a salesperson solicits prospective customers over the phone or through subsequent appointments.,Telemarketing is a method of direct marketing where salespeople use social media platforms to promote products and services.,Telemarketing is a method of direct marketing where customers are identified through market research data and targeted with personalized advertisements.,C
192,What is the pattern of inheritance for limb-girdle muscular dystrophy (LGMD) based on the provided Wikipedia excerpt?,LGMD has a recessive pattern of inheritance.,LGMD has a mitochondrial pattern of inheritance.,LGMD has an X-linked pattern of inheritance.,LGMD has a polygenic pattern of inheritance.,LGMD has a dominant pattern of inheritance.,E
193,What is the Kelvin effect?,The Kelvin effect refers to the small radii where the amount of supersaturation needed for condensation to occur is so large that it does not happen naturally.,The Kelvin effect is the study of the physical processes involved in the condensation of water vapor onto condensation nuclei.,"The Kelvin effect is the change in saturation vapor pressure due to a curved surface, making cloud condensation nuclei necessary for cloud droplet formation.","The Kelvin effect describes how the vapor pressure is dependent on the amount of solute in a solution, as explained by Raoult's law.","The Kelvin effect describes the physical processes that lead to the formation, growth, and precipitation of atmospheric clouds.",C
194,What is the height at which mountaineers are most susceptible to altitude sickness?,"6,000 feet","9,000 feet","12,000 feet","18,000 feet","15,000 feet",B
195,What is the function of the uncharacterized protein KIAA1683?,The uncharacterized protein KIAA1683 plays a role in glucose metabolism in humans.,The uncharacterized protein KIAA1683 is involved in DNA repair and maintenance in humans.,The uncharacterized protein KIAA1683 is involved in protein synthesis and folding in humans.,The uncharacterized protein KIAA1683 has no known function in humans.,The uncharacterized protein KIAA1683 is responsible for regulating cell division in humans.,D
196,What is the primary purpose of a chase plane?,"Chase planes are utilized to capture real-time observations, air-to-air photographs, and videos of the subject vehicle during flight.",Chase planes are responsible for remotely controlling the subject vehicle in case of emergency or malfunction.,"Chase planes are used to assist with aerial refueling by connecting to the subject vehicle in mid-air, facilitating the transfer of fuel.",Chase planes are equipped with advanced radar systems to track and identify any potential threats or obstacles in the airspace.,Chase planes are deployed as security measures to monitor and ensure the safety of the subject vehicle during flight.,A
197,What is a distinctive feature of gated recurrent units (GRUs) compared to long short-term memory (LSTM) in recurrent neural networks?,"GRUs lack an output gate, unlike LSTM.",GRUs have a stronger performance in polyphonic music modeling.,GRUs have a higher number of parameters than LSTM.,Bengio's team concluded that GRUs are superior to LSTM.,GRUs are more effective for speech signal modeling than LSTM.,A
198,"What is the primary field of study of Clifford Henry Taubes, the William Petschek Professor of Mathematics at Harvard University?",Group theory,Graph theory,Algebraic topology,Differential geometry,Number theory,D
199,What is the significance of Otto Hanrath's work?,Hanrath's work was included in the painting event at the 1928 Summer Olympics.,Hanrath's work inspired a new art movement in the Netherlands.,Hanrath's work received critical acclaim during his lifetime.,Hanrath's work was highly influenced by Dutch Impressionism.,Hanrath's work was featured in an exhibition and sale at the Rijksmuseum in Amsterdam in 1939.,E
200,Which famous physicist developed the theory of general relativity?,Albert Einstein,Isaac Newton,Max Planck,Galileo Galilei,Niels Bohr,A
201,What is the purpose of ALSN and ALS-EN train control systems?,To work in close collaboration with medical technologists and hospital administrations for the purpose of surgical resection.,To obtain bodily fluids such as blood and urine for laboratory analysis of disease diagnosis.,To administer a variety of tests of the biophysical properties of tissue samples obtained through surgical resection.,To regulate the speed and movement of trains on the main lines of the ex-Soviet states by using modulated pulses inducted into rails.,To automate the analysis of visual and microscopic tests on tissue samples using automated analysers and cultures.,D
202,What is The Art of Seduction?,The Art of Seduction is a psychological thriller that follows the story of a master manipulator who uses seduction as a means to achieve their sinister goals.,"The Art of Seduction is a coming-of-age drama that chronicles the journey of a young woman as she navigates the complexities of love, romance, and self-discovery.",The Art of Seduction is a critically acclaimed South Korean film that delves into the complexities of human emotions and the power of manipulative tactics in relationships.,The Art of Seduction is a documentary film that explores the history and evolution of seduction techniques across different cultures and time periods.,"The Art of Seduction is a South Korean romantic comedy film that stars Son Ye-jin, Song Il-gook, and is directed by Oh Ki-hwan. It was released on 21 December 2005.",E
203,What is Blatec primarily known for?,"Blatec is primarily known for its modern industries and technological advancements. It is considered an innovative and progressive municipality, driving economic growth in the Olomouc Region.","Blatec is primarily known for its rich cultural heritage and historical landmarks. The village is home to several well-preserved architectural treasures, showcasing the region's history and heritage.",Blatec is primarily known for its historical importance as a regional trade hub in the Olomouc District. It played a crucial role in shaping the economic development of the Olomouc Region.,"Blatec is primarily known for its agricultural output and farming practices. The village is renowned for its fertile lands and high-quality produce, contributing to the local economy.",Blatec is primarily known for its beautiful natural landscapes and abundant wildlife. Its picturesque surroundings make it a popular destination for nature enthusiasts and outdoor activities.,B
204,What is the location of the Fritz Haber Institute of the Max Planck Society (FHI)?,"The Fritz Haber Institute of the Max Planck Society (FHI) is a science research institute located in Frankfurt, Germany.","The Fritz Haber Institute of the Max Planck Society (FHI) is a science research institute located in Munich, Germany.","The Fritz Haber Institute of the Max Planck Society (FHI) is a science research institute located in Dahlem, Berlin, Germany.","The Fritz Haber Institute of the Max Planck Society (FHI) is a science research institute located in Stuttgart, Germany.","The Fritz Haber Institute of the Max Planck Society (FHI) is a science research institute located in Heidelberg, Germany.",C
205,"What is the empirical basis of financial astrology in predicting financial markets, according to the provided Wikipedia excerpt?","Financial astrology is empirically based, but its use in predicting financial markets conflicts with standard economic and financial theory.",Financial astrology is not empirically based and is widely accepted in the field of economics and finance.,Financial astrology is empirically based and is in line with standard economic and financial theory.,Financial astrology is empirically based and is widely accepted in the field of economics and finance.,Financial astrology is not empirically based and is at plain odds with standard economic and financial theory.,E
206,Where is Leonardo Blanchard from?,Leonardo Blanchard is from Spain and plays as a centre-back for a football club in Italy.,Leonardo Blanchard is from Italy and plays as a centre-back for a football club in Spain.,Leonardo Blanchard is from Brazil and plays as a centre-back for a football club in Italy.,Leonardo Blanchard is from Italy and plays as a centre-back for a football club.,Leonardo Blanchard is from France and plays as a centre-back for a football club in Italy.,D
207,Who was George Ritchie Maxwell?,George Ritchie Maxwell was a British physicist known for his contributions to quantum mechanics and electrodynamics.,George Ritchie Maxwell was a Canadian Presbyterian minister and politician.,George Ritchie Maxwell was a German composer famous for his orchestral symphonies.,George Ritchie Maxwell was an American painter renowned for his landscape paintings.,George Ritchie Maxwell was an Australian author known for his bestselling mystery novels.,B
208,"According to the theory of plate tectonics, the lithosphere is divided into a small number of plates that float on and travel independently over which layer?","The crust, discovered in the 1960s and 1970s.","The asthenosphere, discovered in the 1960s and 1970s.","The seafloor, discovered in the 1960s and 1970s.","The core, discovered in the 1960s and 1970s.","The mantle, discovered in the 1960s and 1970s.",B
209,What is the main consequence of severe feather pecking in poultry?,Severe feather pecking causes the recipient bird to grow larger and produce more eggs.,Severe feather pecking is a normal investigatory behavior and does not cause any harm to the recipient bird.,Severe feather pecking results in the recipient bird becoming aggressive towards other birds in its environment.,"Severe feather pecking encourages the recipient bird to develop a stronger immune system, leading to improved overall health.","Severe feather pecking leads to discomfort for the receiving bird and can result in trauma of the skin or bleeding, potentially leading to cannibalism and death.",E
210,What is the significance of Doumy in the context of world history?,Doumy is a commune in the Pyrénées-Atlantiques department in south-western France.,"Doumy is a significant archaeological site where ancient fossils were discovered, providing insights into prehistoric human evolution.","Doumy is a world heritage site, recognized for its exceptional natural beauty and ecosystem.",Doumy is a historic town known for being a key location in the French Revolution.,"Doumy is a renowned cultural center, famous for its annual film festival.",A
211,What is the significance of Kurt Pätzold in the field of history?,Kurt Pätzold was a German historian known for his groundbreaking research in the field of religious history.,Kurt Pätzold was a German Marxist historian who made significant contributions to the field of history.,Kurt Pätzold was a German politician who later became a renowned historian.,Kurt Pätzold was a German archaeologist specializing in ancient civilizations.,Kurt Pätzold was a German Marxist philosopher known for his influential writings on historical materialism.,B
212,"What is the selectivity of AM-630 as an inverse agonist for the cannabinoid receptor CB2, compared to CB1?",10-fold selectivity over CB1,50-fold selectivity over CB1,100-fold selectivity over CB1,150-fold selectivity over CB1,200-fold selectivity over CB1,C
213,What is Klementyna Suchanow known for?,"Klementyna Suchanow is recognized as a prominent activist, dedicating her efforts to the advancement of women's rights and playing a pivotal role in the founding of the women's rights movement All-Poland Women's Strike.","Klementyna Suchanow is renowned as a masterful editor, having worked with numerous publishing houses to refine and enhance literary works across various genres.","Klementyna Suchanow is an acclaimed painter, with her artwork exhibited in prestigious galleries and museums worldwide.","Klementyna Suchanow is celebrated for her groundbreaking research in the field of quantum physics, revolutionizing our understanding of the fundamental laws of the universe.","Klementyna Suchanow is best known for her work as a Polish author in the genre of science fiction, gaining recognition for her thought-provoking novels that explore societal issues.",A
214,What is the capacity of Matador Field?,500,"1,000",800,"1,500","1,200",E
215,What is the function of cerebrospinal fluid (CSF)?,It is an enzyme that aids in the breakdown of waste products in the brain and spinal cord.,It is a nutrient-rich fluid that nourishes the surrounding tissue.,It is a hormone that regulates body temperature and metabolism.,It is an antibody that helps fight against infections and diseases.,It is a protective fluid that cushions and supports the brain and spinal cord.,E
216,"During malting, what is the main product obtained by enzymes converting starch into sugars?",A type of barley grain.,"Maltose, maltotriose, and maltodextrines.",A type of brewing yeast.,Enzymatic sprouts.,None of the above.,B
217,How is a snow shovel designed to move snow?,"Snow shovels are designed to emit a low-frequency vibration that breaks apart snow into smaller, more manageable pieces.","Snow shovels are designed to melt snow when it comes into contact with the shovel blade, eliminating the need for physical removal.",Snow shovels are designed with a specialized blade to effectively lift and push snow off the ground.,Snow shovels are designed to create an air current that blows the snow away from the area being cleared.,Snow shovels use a hydraulic mechanism to scoop up snow and deposit it in a designated area.,C
218,What are some models that attempt to account for all observations without invoking supplemental non-baryonic matter?,"The Doppler effect, the photoelectric effect, or the Compton effect.","Modified Newtonian dynamics, tensor–vector–scalar gravity, or entropic gravity.","The Higgs boson, the W boson, or the Z boson.","Kepler's laws, Newton's laws, or Einstein's theory of general relativity.","The strong nuclear force, the weak nuclear force, or the electromagnetic force.",B
219,Which of the following individuals is NOT associated with the field of law?,Volney Erskine Howard,Benjamin Harrison,Clarence Thomas,Oliver Wendell Holmes Jr.,Ruth Bader Ginsburg,B
220,What is Arecibo?,"Arecibo is a city and municipality located on the southern coast of Puerto Rico, on the shores of the Pacific Ocean, east of Utuado and Ciales; west of Hatillo; and north of Barceloneta and Florida.","Arecibo is a city and municipality located on the eastern coast of Puerto Rico, on the shores of the Atlantic Ocean, northeast of Utuado and Ciales; south of Hatillo; and northwest of Barceloneta and Florida.","Arecibo is a city and municipality located on the eastern coast of Puerto Rico, on the shores of the Caribbean Sea, northeast of Utuado and Ciales; south of Hatillo; and northwest of Barceloneta and Florida.","Arecibo is a city and municipality located on the northern coast of Puerto Rico, on the shores of the Atlantic Ocean, north of Utuado and Ciales; east of Hatillo; and west of Barceloneta and Florida.","Arecibo is a city and municipality located on the western coast of Puerto Rico, on the shores of the Caribbean Sea, west of Utuado and Ciales; north of Hatillo; and southeast of Barceloneta and Florida.",D
221,Who proposed the Theory of Relativity?,Albert Einstein,Nikola Tesla,Niels Bohr,Max Planck,Isaac Newton,A
222,How is the sun primarily responsible for providing energy to life on Earth?,"The sun emits infrared radiation, which is utilized by animals for metabolic processes.","The sun releases a large amount of heat, which is used for power generation on Earth.","The sun emits ultraviolet radiation, which is absorbed by plants for photosynthesis.",The sun's gravitational pull creates a magnetic field that affects cellular metabolism.,"The sun releases cosmic rays, which provide energy to all living organisms.",C
223,What is the significance of Typhoon Thad?,"It was considered the worst storm to hit Japan in two years, causing damage and affecting the country's eastern region.","It was the first typhoon to transition into an extratropical cyclone on August 23, 1981, after passing through Japan.","It was the strongest typhoon ever recorded, with winds exceeding 200 mph (320 km/h) and causing catastrophic damage across multiple countries.","It was the deadliest storm to hit the Philippines in recent history, causing widespread destruction and loss of life.",It was the first typhoon to be classified in August 1981 and caused significant rainfall and flooding in Japan.,A
224,Where is Ectemnius maculosus found?,Ectemnius maculosus is found in Europe and South America.,"Ectemnius maculosus is found in Europe, South America, and North America.",Ectemnius maculosus is found only in Northern Asia and North America.,Ectemnius maculosus is found exclusively in Europe.,"Ectemnius maculosus is found in Europe, Northern Asia, and North America.",E
225,What is one of the examples of the models proposed by cosmologists and theoretical physicists without the cosmological or Copernican principles that can be used to address specific issues in the Lambda-CDM model and distinguish between current models and other possible models?,"The principle of dark energy, which proposes that a new form of energy, not previously detected, is responsible for the acceleration of the expansion of the universe. This principle is a modification of the Lambda-CDM model and has been shown to explain several observational results.","Ritual of Infinity, the first studio album by American death metal band Morpheus Descends, released in late 1992 through JL America.","Inhomogeneous cosmology, which models the universe as an extremely large, low-density void, instead of using the concept of dark energy. According to the model, this theory can match the observed accelerating universe and cosmological constant, but it contradicts the Copernican principle.","The cosmological principle, which proposes that Earth, the Solar System, and the Milky Way are at the centre of the universe. This principle is a modification of the Lambda-CDM model and has been shown to explain several observational results.","Inhomogeneous cosmology, which states that the universe is entirely homogeneous and isotropic, directly proportional to the density of matter and radiation. This model proposes that everything in the universe is completely uniform, but it does not match observations.",C
226,"In the context of psychiatric hospital admissions, what is the difference between formal and informal voluntary commitment?","Formal voluntary commitment grants the individual the ability to avoid involuntary commitment, while informal voluntary commitment does not offer this protection.","Formal voluntary commitment can only be initiated by the hospital, while informal voluntary commitment can be initiated by either the hospital or the patient.","Formal voluntary commitment requires the individual to have written a psychiatric advance directive, while informal voluntary commitment does not have this requirement.","Formal voluntary commitment restricts the person's freedom to leave against medical advice, while informal voluntary commitment allows the person to leave freely.","Formal voluntary commitment requires a longer notice period before leaving the hospital, while informal voluntary commitment allows the person to leave without prior notice.",E
227,What is Fossombrone?,"Fossombrone is a village and comune in the province of Pesaro e Urbino, Marche, central Italy.","Fossombrone is a city located in the province of Pesaro e Urbino, Marche, central Italy.","Fossombrone is a town and comune in the province of Pesaro e Urbino, Marche, central Italy.","Fossombrone is a hamlet situated in the province of Pesaro e Urbino, Marche, central Italy.","Fossombrone is a municipality within the province of Pesaro e Urbino, Marche, central Italy.",C
228,What is the underlying cause of Papillon–Lefèvre syndrome (PLS)?,Papillon–Lefèvre syndrome is caused by an autoimmune reaction targeting the skin and gums.,Papillon–Lefèvre syndrome is caused by an autosomal dominant genetic disorder.,Papillon–Lefèvre syndrome is caused by a deficiency in cathepsin C.,Papillon–Lefèvre syndrome is caused by a deficiency in collagen production.,Papillon–Lefèvre syndrome is caused by an autosomal recessive genetic disorder.,C
229,Which of the following explains the adaptations of alpine plants to their harsh environment?,"Alpine plants require moderate temperatures, high precipitation, and well-drained soil.","Alpine plants thrive in high temperatures, high humidity, and rich, fertile soil.","Alpine plants have adapted to low temperatures, dryness, ultraviolet radiation, wind, drought, poor nutritional soil, and a short growing season.","Alpine plants are adapted to low temperatures, high humidity, and rich, fertile soil.","Alpine plants are adapted to high temperatures, dryness, ultraviolet radiation, wind, drought, nutrient-rich soil, and a long growing season.",C
230,What is Changing Seasons?,Changing Seasons is an art exhibition that showcases the works of various contemporary artists inspired by the natural cycle of seasons.,Changing Seasons is a research paper investigating the effects of climate change on plant growth and phenology.,Changing Seasons is a children's book that explores the different weather patterns throughout the year.,Changing Seasons is a documentary film that explores the cultural significance of seasonal celebrations around the world.,"Changing Seasons is a jazz album released in 2012 by the Phil Dwyer Orchestra, featuring violinist Mark Fewer. It received the Juno Award for Contemporary Jazz Album of the Year in 2012.",E
231,"What is ""bus rapid transit creep""?",Bus rapid transit creep refers to the process of developing a BRT system by gradually implementing improvements to regular bus service.,"Bus rapid transit creep refers to a fully realized bus rapid transit system that meets all the requirements of being considered ""true BRT.""","Bus rapid transit creep is a term coined by the Institute for Transportation and Development Policy to describe systems that fail to meet the requirements to be considered ""true BRT.""","Bus rapid transit creep is an improvement to regular bus service, often marketed as a fully realized BRT system.",Bus rapid transit creep is a phenomenon where regular bus service is replaced by a fully developed BRT system.,C
232,What is the fundamental concept behind Kaluza-Klein theory?,"Kaluza-Klein theory introduces a fifth component to the electromagnetic vector potential, representing the Newtonian gravitational potential.",Kaluza-Klein theory is considered a precursor to string theory and provides a mathematical framework for quantum gravity.,Kaluza-Klein theory proposes the existence of additional dimensions beyond the common 4D of space and time.,Kaluza-Klein theory suggests a connection between the fundamental forces of nature and the theory of relativity.,Kaluza-Klein theory is a classical unified field theory that explains the strong and weak nuclear forces.,C
233,What is the characteristic feature of the mouths of lungfish?,"The mouths of lungfish typically have sharp, needle-like teeth designed for catching fast-moving prey.",The mouths of lungfish typically have specialized jaw muscles for powerful biting capabilities.,"The mouths of lungfish typically have small, numerous teeth for filter-feeding on microscopic organisms.","The mouths of lungfish typically bear tooth plates, which are used to crush hard shelled organisms.","The mouths of lungfish typically have long, thin tongues for efficient food manipulation and ingestion.",D
